number,frequency
1,107
2,105
3,112
4,98
5,106
6,108
7,113
8,115
9,102
10,121
11,115
12,118
13,104
14,120
15,103
16,109
17,114
18,108
19,110
20,118
21,117
22,118
23,128
24,99
25,97
26,89
27,109
28,123
29,100
30,107
31,105
32,130
33,109
34,93
35,91
36,130
37,111
38,105
39,131
40,115
41,120
42,100
43,95
44,112
45,118
46,95
47,115
48,107
49,104
50,103
51,103
52,116
53,110
54,115
55,110
56,112
57,107
58,106
59,126
60,55
61,81
62,70
63,74
64,68
65,55
66,57
67,63
68,61
69,74
